block_name,attr_prompt,attr_text,attr_tag,attr_insert_x,attr_insert_y,bounding_box_min_x,bounding_box_min_y,bounding_box_max_x,bounding_box_max_y,bounding_box_width,bounding_box_height,attr_height,attr_rotation,attr_layer,attr_style,entity_handle
대산-당진 종평,도면 노선통합이정(m),00000.00-07460.00,TD_LNDST,7075.137655167462,-138.3109224662674,7075.137655167462,-138.3109224662674,7121.037655167462,-133.8109224662674,45.899999999999636,4.5,4.5,,CX-BORD-TEX3,TB_TEXT,6F3F
대산-당진 종평,도면 설계이정(m),0.00-7500.00,TD_DDIST,7523.750613105047,-138.3109224662674,7523.750613105047,-138.3109224662674,7556.150613105046,-133.8109224662674,32.399999999999636,4.5,4.5,,CX-BORD-TEX3,TB_TEXT,6F46
대산-당진 종평,설계공구명(하단),제1공구,TD_DSECT,7484.141386510746,-138.3109224662674,7484.141386510746,-138.3109224662674,7494.941386510746,-133.8109224662674,10.800000000000182,4.5,4.5,,CX-BORD-TEX3,TB_TEXT,6F47
대산-당진 종평,적용표준버전(년도),v5.0(2011),TD_VERSION,7691.84253924049,-130.1701752215925,7691.84253924049,-130.1701752215925,7709.84253924049,-127.1701752215925,18.0,3.0,3.0,90.0,CX-BORD-LIN2,TB_TEXT,6F48
대산-당진 종평,도면번호코드(DWG CODE),C0020101-008,TD_DWGCODE,7504.519609034491,-165.0201187245451,7504.519609034491,-165.0201187245451,7536.91960903449,-160.5201187245451,32.399999999999636,4.5,4.5,,CX-BORD-TEX3,TB_TEXT,6F49
대산-당진 종평,편철도면번호(SHEET NO.),8.008,TD_DWGNO,7636.379853267869,-164.8092490839675,7636.379853267869,-164.8092490839675,7649.879853267869,-160.3092490839675,13.5,4.5,4.5,,CX-BORD-TEX3,TB_TEXT,6F4A
대산-당진 종평,1차 확인자,박태영,TR_APP1,7413.666557146416,-160.3109224662674,7413.666557146416,-160.3109224662674,7419.966557146417,-156.8109224662674,6.300000000000182,3.5,3.5,,CX-BORD-LIN1,TB_TEXT,6F5D
대산-당진 종평,1차 검토자(설계자),양원배,TR_CHK1,7373.666557146416,-160.3109224662674,7373.666557146416,-160.3109224662674,7379.966557146417,-156.8109224662674,6.300000000000182,3.5,3.5,,CX-BORD-LIN1,TB_TEXT,6F5E
대산-당진 종평,1차 작성자,송정훈,TR_DGN1,7333.666557146416,-160.3109224662674,7333.666557146416,-160.3109224662674,7339.966557146417,-156.8109224662674,6.300000000000182,3.5,3.5,,CX-BORD-LIN1,TB_TEXT,6F5F
대산-당진 종평,1차 개정내용,설계준공,TR_RCON1,7232.145853643267,-160.3109224662674,7232.145853643267,-160.3109224662674,7240.545853643267,-156.8109224662674,8.399999999999636,3.5,3.5,,CX-BORD-LIN1,TB_TEXT,6F60
